flight,channel,snr_db,noise_std
2021-02-03-13-43-38,ang_acc_x,14.618425793376616,0.2367027479500842
2021-02-03-13-43-38,ang_acc_y,20.339477173462278,0.11653245013197125
2021-02-03-13-43-38,ang_acc_z,10.683268915376152,0.1360288954593082
2021-02-03-13-43-38,ang_vel_x,38.095508183749786,0.003287661076277775
2021-02-03-13-43-38,ang_vel_y,45.61529486735415,0.0016615269273218259
2021-02-03-13-43-38,ang_vel_z,27.308722582135736,0.0018090979191349112
2021-02-03-13-43-38,qx,57.455696895486724,1.751744200691937e-05
2021-02-03-13-43-38,qy,66.5497950274936,1.6412932287233295e-05
2021-02-03-13-43-38,qz,79.58661440897271,9.434656851363221e-06
2021-02-03-13-43-38,qw,82.7928616191505,3.72938103971423e-06
2021-02-03-13-43-38,acc_x,56.482779737167014,0.00037567593019078715
2021-02-03-13-43-38,acc_y,52.62633211182567,0.0003294494393894909
2021-02-03-13-43-38,acc_z,56.56518721651651,4.48556997945424e-05
2021-02-03-13-43-38,vel_x,70.10288846546419,2.794367656148937e-05
2021-02-03-13-43-38,vel_y,65.01142232976397,2.861757544710709e-05
2021-02-03-13-43-38,vel_z,70.01710413072152,3.988073326683812e-05
2021-02-03-13-43-38,pos_x,92.24104356049607,8.672549708280552e-06
2021-02-03-13-43-38,pos_y,86.72269543136922,6.761249589716755e-06
2021-02-03-13-43-38,pos_z,80.19057324081709,4.220715398032415e-06
2021-02-03-13-43-38,mot_1,32.721275253636854,0.8532925799640984
2021-02-03-13-43-38,mot_2,34.64454432696613,0.9010538807345114
2021-02-03-13-43-38,mot_3,32.157111129558366,0.9947500385038356
2021-02-03-13-43-38,mot_4,36.58302650353414,0.7773163736891977
2021-02-03-13-43-38,dmot_1,12.115199268834733,144.40830374495042
2021-02-03-13-43-38,dmot_2,11.185621756981657,153.9957759852253
2021-02-03-13-43-38,dmot_3,10.807846235946206,171.01565344226756
2021-02-03-13-43-38,dmot_4,11.161914046799739,134.03238282768478
2021-02-03-13-43-38,vbat,45.325557760519565,6.203643254529539e-05
2021-02-03-13-44-49,ang_acc_x,19.559446725851494,0.2721172202771942
2021-02-03-13-44-49,ang_acc_y,25.239688401619226,0.14004893545122438
2021-02-03-13-44-49,ang_acc_z,16.071102011611906,0.14522784933150615
2021-02-03-13-44-49,ang_vel_x,45.17149121203015,0.0037305979200670325
2021-02-03-13-44-49,ang_vel_y,51.42688712715091,0.001958588193326289
2021-02-03-13-44-49,ang_vel_z,39.709844964248994,0.0019576055583662997
2021-02-03-13-44-49,qx,74.35678504869566,1.926443082103412e-05
2021-02-03-13-44-49,qy,66.34174040020058,1.5500797699879266e-05
2021-02-03-13-44-49,qz,80.25553595903502,9.550099677314883e-06
2021-02-03-13-44-49,qw,84.33824812968842,7.174252505270004e-06
2021-02-03-13-44-49,acc_x,60.19147224847512,0.0003854607089544194
2021-02-03-13-44-49,acc_y,56.326606526163594,0.0003887524959707121
2021-02-03-13-44-49,acc_z,73.67431334749588,5.485861208047584e-05
2021-02-03-13-44-49,vel_x,73.45559059901596,3.739795716898711e-05
2021-02-03-13-44-49,vel_y,65.16082719585154,4.0537058885393274e-05
2021-02-03-13-44-49,vel_z,74.92099982167203,5.53945610964847e-05
2021-02-03-13-44-49,pos_x,94.5280081351757,8.07484523613895e-06
2021-02-03-13-44-49,pos_y,91.0418946390733,8.905168753659164e-06
2021-02-03-13-44-49,pos_z,74.42764712358263,4.473453404932259e-06
2021-02-03-13-44-49,mot_1,40.16512524056202,0.9759943497940518
2021-02-03-13-44-49,mot_2,39.43943418176266,1.0661876479084222
2021-02-03-13-44-49,mot_3,39.337926414922464,1.1608212402239848
2021-02-03-13-44-49,mot_4,41.02878338027905,1.0222517164196798
2021-02-03-13-44-49,dmot_1,11.275389577474916,168.76538435107983
2021-02-03-13-44-49,dmot_2,11.352349155334583,183.5991883060972
2021-02-03-13-44-49,dmot_3,10.689334561982642,200.40595981240904
2021-02-03-13-44-49,dmot_4,9.80368733124159,177.21836040109977
2021-02-03-13-44-49,vbat,47.887402453267434,9.935921286060818e-05
2021-02-03-13-53-04,ang_acc_x,12.711465297444928,0.37484497729280714
2021-02-03-13-53-04,ang_acc_y,19.33002265634723,0.17693690162276374
2021-02-03-13-53-04,ang_acc_z,11.490809853360485,0.16636866622683819
2021-02-03-13-53-04,ang_vel_x,40.033725514303306,0.004992642294330046
2021-02-03-13-53-04,ang_vel_y,45.68576680013762,0.0025269821072481
2021-02-03-13-53-04,ang_vel_z,36.678668554216465,0.0022373678889914058
2021-02-03-13-53-04,qx,68.58075113199321,1.7739878590920314e-05
2021-02-03-13-53-04,qy,65.71463559773797,1.6183996774420206e-05
2021-02-03-13-53-04,qz,69.67118123649531,8.850435790008636e-06
2021-02-03-13-53-04,qw,86.45565782666593,6.885853515280156e-06
2021-02-03-13-53-04,acc_x,65.75981098038713,0.00045420320014577596
2021-02-03-13-53-04,acc_y,66.350232287605,0.00041870930897669505
2021-02-03-13-53-04,acc_z,79.93901519474568,6.401148705420318e-05
2021-02-03-13-53-04,vel_x,74.98729875367707,5.8648402088403736e-05
2021-02-03-13-53-04,vel_y,73.13423849210824,5.187672014114379e-05
2021-02-03-13-53-04,vel_z,68.51459554956865,0.00010278690287994431
2021-02-03-13-53-04,pos_x,85.10093394228909,1.0339966346968498e-05
2021-02-03-13-53-04,pos_y,85.38894680049538,1.1167125200274163e-05
2021-02-03-13-53-04,pos_z,86.3285543747296,4.162116553739015e-06
2021-02-03-13-53-04,mot_1,41.127399481233425,1.1849476090571598
2021-02-03-13-53-04,mot_2,40.04462049860589,1.2556023283564568
